n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;14.611568;0.374656;-633.165792;-624.244844;2.724263;1.660804;0.024026;0.577466;9.142330;0.010346
2;3;6;1.000000;4.727314;0.124403;-682.056323;-671.351185;2.724263;1.200171;0.012032;1.624398;3.654993;0.160816
2;4;7;1.000000;4.066495;0.109905;-689.107325;-676.617997;2.724263;1.108687;0.009889;1.888356;4.623469;0.099089
2;5;8;1.000000;3.988374;0.110788;-687.964769;-673.691252;2.724263;1.069879;0.010048;1.916771;4.537278;0.103453
2;6;9;1.000000;3.996340;0.114181;-687.666447;-671.608740;2.724263;1.065309;0.009566;1.841976;3.229343;0.198956
2;7;10;1.000000;4.113285;0.120979;-683.768349;-665.926453;2.724263;1.092175;0.009884;1.861982;4.284910;0.117366
2;8;11;1.000000;3.715577;0.112593;-684.575190;-664.949104;2.724263;0.906410;0.010613;1.936293;3.630394;0.162806
2;9;12;1.000000;3.337859;0.104308;-686.755273;-665.344997;2.724263;0.967790;0.009064;2.021874;4.789264;0.091206
2;10;13;1.000000;3.306647;0.106666;-685.023193;-661.828728;2.724263;0.962475;0.009083;2.045776;4.696971;0.095514
2;11;14;1.000000;3.275909;0.109197;-682.730748;-657.752093;2.724263;0.939458;0.009144;2.045345;4.690979;0.095800
2;12;15;1.000000;3.270202;0.112766;-680.556114;-653.793269;2.724263;0.935233;0.009112;2.041280;4.644270;0.098064
2;13;16;1.000000;3.205257;0.114473;-679.820773;-651.273739;2.724263;0.942201;0.008709;2.055600;5.323278;0.069834
2;14;17;1.000000;3.182238;0.117861;-677.754379;-647.423155;2.724263;0.926793;0.008726;2.057773;5.439003;0.065908
3;2;6;1.000000;4.102331;0.107956;-689.854856;-679.149718;3.472541;1.118367;0.010286;1.858874;6.113468;0.106218
3;3;7;1.000000;4.049215;0.109438;-689.380322;-676.890995;3.472541;1.102847;0.009869;1.895841;6.344280;0.096010
3;4;8;1.000000;4.690228;0.130284;-678.508836;-664.235319;3.472541;1.200114;0.011836;1.642581;5.304821;0.150790
3;6;10;1.000000;3.976591;0.116959;-684.177444;-666.335547;3.472541;1.066841;0.009909;1.914111;6.615477;0.085218
3;7;11;1.000000;4.009087;0.121487;-682.995472;-663.369386;3.472541;1.069112;0.009642;1.831732;7.452279;0.058797
3;8;12;1.000000;3.449029;0.107782;-685.946732;-664.536456;3.472541;0.983194;0.009191;2.019759;9.395253;0.024472
3;10;14;1.000000;3.326122;0.110871;-682.945079;-657.966424;3.472541;0.972442;0.008954;2.030522;9.854411;0.019845
3;11;15;1.000000;2.526944;0.087136;-679.455184;-652.692339;3.472541;0.885595;0.009830;2.059558;9.888109;0.019542
3;12;16;1.000000;3.288134;0.117433;-679.216610;-650.669576;3.472541;0.958519;0.008941;2.048745;10.288206;0.016269
3;13;17;1.000000;2.348114;0.086967;-678.764213;-648.432989;3.472541;0.851094;0.009048;2.096048;11.343934;0.010004
4;2;7;1.000000;4.050627;0.109476;-689.346838;-676.857511;3.420861;1.103459;0.009872;1.895025;6.351273;0.174406
4;3;8;1.000000;13.940173;0.387227;-631.446092;-617.172575;3.420861;2.275087;0.021537;1.073361;18.329016;0.001064
4;4;9;1.000000;4.019396;0.114840;-685.409911;-669.352204;3.420861;1.108391;0.009884;1.957883;6.375379;0.172814
4;5;10;1.000000;3.459167;0.101740;-690.324594;-672.482698;3.420861;1.025862;0.009364;2.012011;9.554292;0.048644
4;6;11;1.000000;3.395795;0.102903;-689.605844;-669.979758;3.420861;1.024992;0.008711;2.038651;9.677505;0.046225
4;7;12;1.000000;3.372840;0.105401;-687.490202;-666.079927;3.420861;1.033629;0.009066;2.154867;9.666038;0.046445
4;8;13;1.000000;3.321812;0.107155;-685.457937;-662.263472;3.420861;0.981500;0.008910;2.043817;10.431274;0.033757
4;9;14;1.000000;3.282198;0.109407;-683.193869;-658.215214;3.420861;0.953129;0.008892;2.041907;10.828840;0.028556
4;10;15;1.000000;3.328032;0.114760;-680.889110;-654.126266;3.420861;0.967672;0.008996;2.030138;10.384653;0.034424
4;11;16;1.000000;2.445372;0.087335;-678.847699;-650.300665;3.420861;0.855470;0.009577;2.076057;11.574426;0.020813
4;12;17;1.000000;3.273351;0.121235;-677.441084;-647.109860;3.420861;0.952580;0.008883;2.062060;11.017608;0.026367
5;2;8;1.000000;3.958209;0.109950;-688.267456;-673.993939;3.327152;1.055142;0.010092;1.924941;7.765776;0.169625
5;3;9;1.000000;3.404790;0.097280;-687.492825;-671.435119;3.327152;1.087407;0.009789;1.931015;8.086319;0.151542
5;4;10;1.000000;3.483285;0.102450;-691.346383;-673.504487;3.327152;1.022228;0.008586;2.046968;9.840643;0.079879
5;5;11;1.000000;3.411591;0.103382;-689.501245;-669.875159;3.327152;1.016302;0.008893;2.052434;10.344208;0.066049
5;6;12;1.000000;2.671840;0.083495;-687.263151;-665.852875;3.327152;1.024161;0.009642;1.871599;8.637794;0.124413
5;7;13;1.000000;2.239888;0.072254;-692.264716;-669.070251;3.327152;0.906797;0.008357;2.222627;7.642311;0.177082
5;8;14;1.000000;3.317377;0.110579;-682.829292;-657.850637;3.327152;0.941805;0.009150;2.039057;11.345745;0.044940
5;9;15;1.000000;2.349450;0.081016;-683.982510;-657.219665;3.327152;0.865065;0.008496;2.119747;13.140591;0.022096
5;10;16;1.000000;2.859526;0.102126;-680.001689;-651.454655;3.327152;0.908063;0.008792;2.455074;11.015594;0.051072
5;11;17;1.000000;2.287387;0.084718;-680.088799;-649.757576;3.327152;0.881262;0.008464;2.134117;12.937358;0.023973
6;2;9;1.000000;3.507101;0.100203;-687.620345;-671.562638;3.180672;0.835685;0.010534;1.937925;10.835318;0.093601
6;3;10;1.000000;4.133731;0.121580;-681.948288;-664.106392;3.180672;1.117119;0.010042;1.864582;8.863533;0.181400
6;4;11;1.000000;3.394741;0.102871;-689.607356;-669.981270;3.180672;1.021445;0.008778;2.040178;10.712773;0.097670
6;5;12;1.000000;2.581826;0.080682;-688.261971;-666.851696;3.180672;0.980054;0.009506;1.941586;10.608836;0.101245
6;6;13;1.000000;2.184627;0.070472;-693.328686;-670.134220;3.180672;0.936770;0.008302;2.124981;12.426733;0.053099
